number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
75,TKP,"Rekan satu tim Anda sedang jatuh sakit dan dirawat di rumah sakit. Padahal, tugas tim Anda memiliki *deadline* besok pagi dan bagian tugas rekan Anda tersebut belum selesai. Tindakan Anda...",Melaporkan kepada atasan bahwa target tidak tercapai karena ada anggota yang sakit,Mengerjakan bagian Anda saja dan membiarkan bagian rekan tersebut kosong,Berkoordinasi dengan anggota tim lain untuk membagi rata dan mengambil alih tugas rekan yang sakit agar target tim tetap tercapai tepat waktu,Menghubungi rekan yang sakit dan memaksanya menyelesaikan tugas dari rumah sakit,Meminta perpanjangan waktu *deadline* kepada atasan,4,3,5,2,1,"Jejaring Kerja. Menunjukkan kolaborasi dan solidaritas tim (*team spirit*). Kesuksesan tim adalah tanggung jawab bersama, sehingga perlu mem-*backup* anggota yang berhalangan *force majeure*.",Jejaring Kerja
76,TKP,"Dalam rapat penentuan vendor kegiatan, Anda berbeda pendapat dengan rekan dari divisi lain. Anda merasa vendor A lebih murah, sementara ia merasa vendor B lebih berkualitas. Rapat mulai berjalan alot. Sikap Anda...",Memaksakan pendapat Anda karena menghemat anggaran adalah prioritas,Mengalah sepenuhnya agar rapat cepat selesai dan tidak berdebat panjang,Mengajak rekan tersebut membedah perbandingan (*cost-benefit analysis*) secara objektif untuk mencari jalan tengah atau *win-win solution*,Meninggalkan ruang rapat karena merasa pendapat Anda tidak dihargai,Meminta atasan untuk langsung menunjuk vendor pilihannya saja,4,3,5,2,1,Jejaring Kerja. Mengelola konflik kepentingan dalam tim dengan kepala dingin dan menggunakan data (*objektif*) untuk mencari *win-win solution*.,Jejaring Kerja
77,TKP,"Rekan kerja di sebelah meja Anda memiliki kebiasaan sering mengeluh tentang beban kerjanya setiap hari, sehingga hal tersebut mulai mengganggu konsentrasi kerja Anda. Sikap Anda...",Meminta atasan untuk memindahkan meja rekan tersebut,Ikut mengeluh agar ia merasa memiliki teman senasib,"Mendengarkannya sebentar, memberinya motivasi, lalu dengan sopan mengajaknya kembali fokus pada penyelesaian tugas",Menegurnya dengan keras agar ia diam dan tidak mengganggu,Memakai *headphone* dan mengabaikannya sepenuhnya,4,3,5,2,1,"Jejaring Kerja. Menjaga hubungan baik namun tetap asertif menjaga profesionalitas. Memberi motivasi adalah empati, mengajak fokus kerja adalah profesionalisme.",Jejaring Kerja
78,TKP,"Instansi Anda akan berkolaborasi dengan instansi lain yang dikenal memiliki budaya kerja sangat birokratis dan kaku. Sebagai perwakilan (Liaison Officer) dari kantor Anda, strategi Anda adalah...",Menghindari interaksi yang terlalu sering agar tidak tertular budaya kerja mereka,Mengikuti saja ritme kerja mereka meskipun proyek menjadi sangat lambat,"Membangun komunikasi personal yang baik secara informal terlebih dahulu, lalu menyepakati *timeline* kerja yang jelas dan saling menguntungkan",Memaksakan budaya kerja kantor Anda yang lebih cepat kepada mereka,Melaporkan ketidakefisienan mereka kepada walikota/pimpinan daerah,4,3,5,2,1,Jejaring Kerja. Kolaborasi antar-instansi (*cross-functional*) membutuhkan keahlian diplomasi. Komunikasi informal di awal dapat mencairkan kekakuan birokrasi.,Jejaring Kerja
79,TKP,"Atasan Anda mengusulkan sebuah ide program kampanye publik. Menurut analisis Anda, ide tersebut kurang efektif dan berpotensi menghabiskan anggaran tanpa hasil maksimal. Sikap Anda dalam rapat...",Diam saja dan menyetujui ide tersebut karena ia adalah atasan Anda,Menolak ide tersebut secara langsung di depan forum agar terlihat kritis,"Menyampaikan apresiasi atas idenya, lalu dengan sopan memaparkan data analisis Anda serta memberikan alternatif program yang lebih efektif",Membicarakan keburukan ide atasan tersebut dengan rekan sejawat di belakangnya,Menjalankan ide tersebut setengah hati agar atasan tahu bahwa idenya gagal,4,3,5,2,1,Jejaring Kerja & Profesionalisme. Mengemukakan pendapat kepada atasan harus dilakukan dengan etika kesopanan (apresiasi) dan argumentasi yang berbasis data.,Jejaring Kerja
80,TKP,Anda mendapat anggota tim baru yang terkenal sebagai 'kutu loncat' atau *freerider* (sering mengandalkan kerja orang lain). Anda ditunjuk sebagai ketua tim dalam proyek penting ini. Langkah Anda...,Membiarkannya dan mengerjakan bagiannya sendiri agar proyek aman,Melaporkannya ke HRD agar segera dikeluarkan dari tim,"Mengajaknya bicara empat mata, memberikan tanggung jawab tugas yang spesifik, menetapkan batas waktu harian, dan memantau progresnya secara berkala",Menyuruh anggota tim lain untuk mengawasi setiap gerak-geriknya,Mengerjainya dengan memberikan tugas fiktif yang tidak penting,4,3,5,2,1,"Jejaring Kerja (Kepemimpinan). Pemimpin yang baik tidak langsung menyingkirkan anggota bermasalah, melainkan melakukan pembinaan dan manajemen tugas yang ketat (*micromanagement* di awal) agar ia berkontribusi.",Jejaring Kerja
81,TKP,"Atasan Anda berhalangan hadir dalam sebuah rapat penting dengan instansi kementerian, dan mendelegasikan Anda untuk mewakilinya. Anda belum terlalu menguasai materi secara mendalam. Sikap Anda...",Menolak penugasan tersebut karena takut melakukan kesalahan,"Hadir dalam rapat, mencatat semua poin penting, berpartisipasi sesuai kapasitas pengetahuan Anda, dan melaporkan hasilnya kepada atasan untuk arahan lebih lanjut",Hadir dan diam saja selama rapat berlangsung tanpa memberikan pendapat apa pun,Berbicara panjang lebar meskipun di luar konteks agar terlihat pintar di depan orang kementerian,Menyuruh rekan kerja lain yang lebih pintar untuk menggantikan Anda,4,5,3,2,1,"Jejaring Kerja & Profesionalisme. Kepercayaan atasan harus dijaga. Menghadiri rapat, menjadi pendengar/pencatat yang baik, dan memberikan kontribusi yang terukur tanpa *overstepping* adalah sikap profesional.",Jejaring Kerja
82,TKP,Anda seorang ASN yang baru dimutasi ke daerah pelosok. Masyarakat di sana memiliki dialek bahasa daerah yang sangat kental sehingga Anda sering kesulitan memahami maksud mereka. Langkah Anda...,Hanya bergaul dengan sesama ASN pendatang saja agar komunikasinya mudah,Meminta warga untuk selalu berbicara bahasa Indonesia baku jika berhadapan dengan Anda,"Belajar bahasa dan dialek daerah setempat secara bertahap, dan meminta bantuan rekan kerja lokal untuk menjadi penerjemah sementara jika menemui kendala",Memaksa diri langsung berbicara bahasa daerah mereka meskipun sering salah ucap,Menggunakan bahasa isyarat setiap kali melayani masyarakat setempat,4,3,5,2,1,"Sosial Budaya. Kemampuan adaptasi bahasa adalah kunci asimilasi sosial. Belajar bertahap menunjukkan penghargaan terhadap budaya lokal, dibantu kolaborasi rekan kerja lokal.",Sosial Budaya
83,TKP,Tetangga baru Anda di kompleks perumahan berasal dari suku yang berbeda dan mengadakan acara syukuran adat yang cukup meriah dan sedikit bising di malam hari. Anda diundang ke acara tersebut. Sikap Anda...,Menolak hadir dan melaporkannya ke ketua RT karena mengganggu jam istirahat,Menutup pintu rapat-rapat dan mengabaikan undangan tersebut,"Hadir sebentar untuk menghargai undangan mereka, memberikan ucapan selamat, dan mencoba mengenal kebudayaan mereka",Datang ke acara tersebut lalu meminta mereka mengecilkan volume suaranya,Memarahi mereka karena tidak menghargai tetangga yang ingin tidur,4,3,5,2,1,Sosial Budaya. Toleransi dan hidup bertetangga yang baik. Menghadiri undangan adalah wujud penghargaan terhadap keragaman budaya (Bhinneka Tunggal Ika).,Sosial Budaya
84,TKP,"Seorang rekan kerja sering membawa bekal makanan khas daerahnya yang memiliki aroma sangat menyengat dan memakannya di *pantry* kantor. Beberapa rekan lain mulai mengeluh terganggu. Sebagai teman dekatnya, Anda akan...",Menjauhinya dan ikut menggunjingkannya bersama rekan lain,Membuang makanannya diam-diam saat ia sedang ke toilet,"Berbicara empat mata secara santai, menghargai selera kulinernya, namun dengan sopan memberitahukan bahwa aromanya sedikit mengganggu kenyamanan bersama di ruang tertutup",Menegurnya dengan keras di depan rekan-rekan lain agar ia kapok,Mengusulkan kepada atasan untuk melarang pegawai membawa makanan dari rumah,4,3,5,2,1,"Sosial Budaya & Jejaring Kerja. Mengedepankan komunikasi asertif yang personal. Menghargai keragaman kuliner, namun juga menjaga etika ruang publik (kenyamanan bersama).",Sosial Budaya
85,TKP,Kantor Anda mengadakan acara *gathering* tahunan. Panitia mewajibkan seluruh pegawai mengenakan pakaian adat nusantara (bebas dari daerah mana saja). Anda tidak memiliki pakaian adat. Solusi Anda...,Memutuskan untuk tidak hadir dalam acara *gathering* tersebut,Datang menggunakan pakaian kerja biasa karena merasa aturan tersebut memberatkan,"Menyewa atau meminjam pakaian adat dari teman/persewaan, dan hadir dengan bangga untuk memeriahkan apresiasi keragaman budaya tersebut",Membeli pakaian adat yang paling mahal agar menjadi pusat perhatian,Protes kepada panitia dan meminta agar *dresscode* diubah menjadi pakaian kasual,4,3,5,2,1,Sosial Budaya. Partisipasi aktif dalam kegiatan apresiasi budaya menunjukkan sikap terbuka dan dukungan terhadap nilai kebhinekaan di instansi.,Sosial Budaya
86,TKP,Anda ditugaskan di unit pelayanan yang mayoritas pelanggannya adalah masyarakat dari kelompok agama minoritas di daerah Anda. Anda sering mendapati mereka meminta waktu istirahat khusus untuk ibadah mereka di jam sibuk pelayanan. Sikap Anda...,Menolak permintaan tersebut karena tidak sesuai dengan aturan jam istirahat nasional,Membiarkan mereka beribadah namun Anda juga menghentikan pelayanan sebagai bentuk protes,Berkonsultasi dengan atasan untuk mengatur sistem *shift* pelayanan yang fleksibel agar hak ibadah mereka terpenuhi tanpa menghentikan pelayanan publik,Memarahi mereka karena dianggap mengganggu kelancaran operasional kantor,Meminta mereka mengganti agama agar lebih mudah dilayani,4,3,5,2,1,Sosial Budaya & Pelayanan Publik. Mengakomodasi kebutuhan keberagaman ibadah melalui manajemen *shift* yang adaptif adalah bentuk pelayanan publik yang inklusif dan toleran.,Sosial Budaya
87,TKP,"Saat Anda memberikan penyuluhan di sebuah desa, Anda tanpa sengaja melanggar salah satu pantangan adat setempat (karena ketidaktahuan Anda). Kepala suku tampak tersinggung. Reaksi Anda...",Berdebat dengan kepala suku dan mengatakan bahwa pantangan tersebut tidak masuk akal,Segera menghentikan penyuluhan dan pergi dari desa tersebut karena takut,"Segera menghampiri kepala suku, meminta maaf dengan tulus atas ketidaktahuan Anda, dan memohon arahan mengenai adat istiadat setempat agar tidak terulang",Mengabaikannya karena Anda adalah aparat negara yang memiliki kekebalan hukum,Membayar sejumlah uang agar kepala suku tersebut diam,4,3,5,2,1,Sosial Budaya. Kelapangan dada mengakui kesalahan dan menghormati *local wisdom* (kearifan lokal). Minta maaf secara tulus akan meredam konflik sosiologis.,Sosial Budaya
88,TKP,Beberapa rekan kerja sedang asyik membuat lelucon (*jokes*) yang mendiskreditkan dan menggunakan stereotip negatif terhadap suku tertentu di ruang istirahat. Anda berada di sana. Sikap Anda...,Ikut tertawa dan menambahkan lelucon agar suasana semakin akrab,Merekam percakapan mereka untuk dilaporkan ke pimpinan,"Tersenyum formal, lalu dengan bijak mengalihkan topik pembicaraan atau mengingatkan dengan sopan bahwa lelucon SARA berpotensi menyakiti perasaan orang lain",Menangis dan meninggalkan ruangan karena merasa empati pada suku tersebut,Marah besar dan memukul meja untuk menghentikan lelucon mereka,4,3,5,2,1,Sosial Budaya & Anti-radikalisme. Mencegah normalisasi *micro-aggression* SARA. Mengingatkan dengan asertif atau mengalihkan pembicaraan menunjukkan kedewasaan bersosialisasi.,Sosial Budaya
89,TKP,Seorang tetangga merayakan hari raya keagamaannya dan mengirimkan bingkisan makanan ke rumah Anda. Anda ragu apakah makanan tersebut diproses secara halal/sesuai dengan keyakinan agama Anda. Sikap Anda...,Menolak bingkisan tersebut di depan pintu dengan alasan haram,"Menerima dengan senyum dan ucapan terima kasih untuk menghargai niat baiknya, lalu jika memang tidak bisa dikonsumsi, Anda memberikannya kepada orang lain yang bisa memakannya",Membuang makanan tersebut ke tempat sampah tepat di depan rumahnya,Menerima makanan tersebut dan memaksa diri memakannya untuk membuktikan toleransi,Mengirim balik makanan tersebut dengan catatan panjang tentang hukum agama Anda,4,5,3,2,1,Sosial Budaya. Toleransi sejati. Menerima pemberian adalah bentuk penghormatan sosial (menjaga silaturahmi). Perkara konsumsi adalah prinsip pribadi yang bisa dikelola tanpa harus melukai perasaan pemberi.,Sosial Budaya
90,TKP,Instansi Anda baru saja beralih dari pengarsipan kertas ke sistem *database cloud* terpusat. Anda sudah terbiasa dan merasa nyaman dengan cara lama. Sikap Anda menghadapi perubahan ini...,Menolak menggunakan sistem baru dan tetap mencetak semua dokumen,Meminta staf magang untuk meng-input data Anda ke sistem baru,Belajar menggunakan sistem *cloud* tersebut secara mandiri atau mengikuti pelatihannya dengan antusias agar pekerjaan lebih efisien,Menggunakan sistem baru tersebut namun selalu mengeluh setiap hari,Mencari kelemahan sistem baru untuk membuktikan bahwa cara lama lebih baik,4,3,5,2,1,TIK. Kesiapan dan adaptabilitas terhadap transformasi digital. *Growth mindset* dalam mempelajari teknologi baru untuk efisiensi kerja.,TIK
91,TKP,"Pimpinan meminta Anda menyusun laporan evaluasi akhir tahun dalam format infografis dan presentasi multimedia, padahal biasanya laporan hanya berupa teks *Word*. Anda belum mahir membuat infografis. Tindakan Anda...",Meminta pimpinan untuk mengubah permintaannya kembali ke format teks biasa,Mengundurkan diri dari tugas penyusunan laporan tersebut,"Mencari *template* gratis di internet, belajar kilat dari tutorial *YouTube*, dan menyusun laporan tersebut semaksimal mungkin sesuai arahan pimpinan",Membayar jasa desainer lepas (freelancer) menggunakan uang pribadi Anda,Menyusun laporan dalam format *Word* dan berharap pimpinan memakluminya,4,3,5,2,1,TIK & Profesionalisme. Tuntutan kompetensi digital ASN semakin tinggi. Kemauan belajar mandiri (*self-learning*) secara cepat untuk memenuhi ekspektasi pimpinan adalah sikap Bintang 5.,TIK
92,TKP,"Anda menerima email dari alamat yang tidak dikenal, berisi tautan (*link*) yang mengklaim bahwa Anda memenangkan undian dari kementerian. Tindakan Anda...",Segera mengeklik tautan tersebut dan mengisi data pribadi Anda karena tergiur,Meneruskan (forward) email tersebut ke seluruh rekan kantor agar mereka juga bisa ikut undian,"Mengabaikan, langsung menghapus email tersebut karena sadar itu adalah upaya *phishing/penipuan*, dan memperingatkan rekan kerja jika ada email serupa",Membalas email tersebut untuk menanyakan kebenaran undiannya,Mengeklik tautan tersebut menggunakan komputer kantor karena merasa aman,4,3,5,2,1,TIK. Kesadaran keamanan informasi (*cyber security awareness*). Mengabaikan tautan mencurigakan (*phishing*) dan mengedukasi rekan kerja untuk mitigasi ancaman siber.,TIK
93,TKP,"Anda sedang mengikuti *Focus Group Discussion* (FGD) secara *online* dari rumah (WFH). Tiba-tiba, koneksi *Wi-Fi* di rumah Anda mati total karena pemadaman listrik. Padahal Anda sedang memberikan paparan. Solusi cepat Anda...",Menunggu listrik menyala kembali dan berharap rapat belum selesai,Meninggalkan rapat begitu saja dan tidur,"Segera beralih menggunakan koneksi paket data seluler (*tethering hotspot*) dari ponsel Anda, masuk kembali ke ruang *meeting online*, dan melanjutkan paparan",Menghubungi panitia via SMS untuk meminta maaf dan meminta jadwal ulang minggu depan,Marah-marah kepada PLN di media sosial atas pemadaman tersebut,4,3,5,2,1,TIK & Profesionalisme. Mitigasi darurat (resiliensi TIK). Menggunakan alternatif koneksi darurat untuk memastikan tugas kedinasan tetap berjalan lancar.,TIK
94,TKP,"Saat Anda akan presentasi di depan masyarakat desa mengenai program penyuluhan, proyektor LCD di balai desa tersebut rusak dan tidak bisa digunakan. Solusi Anda...",Membatalkan penyuluhan dan meminta warga pulang,"Melakukan presentasi secara lisan tanpa alat bantu visual, menggunakan contoh-contoh nyata atau papan tulis jika ada, agar pesan tetap tersampaikan",Menunggu teknisi dari kota datang untuk memperbaiki proyektor tersebut berjam-jam,Menyalahkan kepala desa karena tidak menyiapkan alat dengan baik,Membaca teks dari laptop Anda sendiri tanpa mempedulikan apakah warga mengerti atau tidak,4,5,3,2,1,TIK & Pelayanan Publik. Ketergantungan pada teknologi tidak boleh menghentikan pelayanan/penyuluhan. Mampu beradaptasi dengan metode konvensional (*problem solving*) di lapangan.,TIK
95,TKP,Sebuah kebijakan instansi Anda mendapat respons negatif di media sosial. Banyak warga yang salah paham dan memberikan komentar kasar di akun Instagram resmi instansi tempat Anda menjadi admin. Sikap Anda...,Membalas komentar kasar tersebut dengan argumen yang sama kasarnya untuk membela instansi,Menonaktifkan kolom komentar agar akun instansi terlihat bersih,"Menyusun balasan klarifikasi yang sopan, informatif, dan melampirkan *link* dokumen kebijakan aslinya agar masyarakat mendapat informasi yang benar",Menghapus semua komentar negatif satu per satu tanpa memberikan penjelasan,Membiarkan saja karena media sosial memang selalu dipenuhi orang marah,4,3,5,2,1,TIK & Pelayanan Publik. Mengelola keluhan digital dengan *Public Relations* (Humas) yang elegan. Memberikan literasi informasi melalui klarifikasi sopan berbasis data.,TIK
96,TKP,"Anda menyadari bahwa proses pencarian arsip fisik di kantor Anda sangat memakan waktu. Anda memiliki ide untuk membuat sistem *database* sederhana menggunakan *Excel/Google Sheets*, namun atasan tidak pernah memintanya. Inisiatif Anda...",Menyimpan ide tersebut untuk diri sendiri agar tidak menambah beban kerja,Memaksa semua orang di kantor untuk langsung menggunakan sistem *Excel* buatan Anda,"Membuat draf *database* tersebut di waktu luang, mencobanya untuk arsip Anda sendiri, lalu mempresentasikannya kepada atasan sebagai usulan inovasi",Menulis surat keluhan ke kotak saran bahwa sistem arsip kantor sangat buruk,Membicarakan keburukan sistem arsip dengan staf instansi lain,4,3,5,2,1,TIK & Profesionalisme. Menunjukkan jiwa inisiatif inovasi berkelanjutan (*continuous improvement*). Memvalidasi ide dengan draf dan mempresentasikannya kepada atasan.,TIK
97,TKP,"Anda mendapati seorang staf junior menggunakan fasilitas internet kantor dengan *bandwidth* besar untuk mengunduh film dan bermain *game online* saat jam kerja, sehingga koneksi kantor menjadi lambat. Sikap Anda...",Ikut-ikutan mengunduh film karena internet sedang gratis,"Menegurnya secara langsung dan persuasif agar menggunakan fasilitas IT kantor sesuai dengan peruntukannya (pekerjaan), serta mengingatkan dampaknya pada rekan lain",Melaporkannya langsung ke Direktur Utama agar ia dipecat hari itu juga,Diam saja karena tidak ingin merusak hubungan pertemanan di kantor,Mencabut kabel LAN komputernya tanpa bicara,4,5,3,2,1,TIK & Profesionalisme. Etika penggunaan fasilitas negara (*IT Acceptable Use Policy*). Peneguran rekan secara asertif (*peer-correction*) untuk menjaga fasilitas kantor beroperasi maksimal.,TIK
98,TKP,"Menjelang jam pulang kantor di hari Jumat, atasan Anda tiba-tiba memberikan tugas tambahan yang cukup banyak. Anda sudah memiliki janji penting dengan keluarga. Sikap profesional Anda...",Menolak dengan marah karena jam kerja sudah hampir habis,Mengerjakannya dengan asal-asalan agar cepat selesai dan bisa segera pulang,"Berkomunikasi dengan atasan untuk menanyakan tingkat urgensi tugas tersebut. Jika sangat urgen, Anda akan menunda janji keluarga; jika bisa ditunggu, Anda meminta izin menyelesaikannya pada Senin pagi",Meninggalkan tugas tersebut di meja dan langsung pulang tanpa berpamitan pada atasan,Menyuruh *office boy* untuk mengerjakannya,4,3,5,2,1,"Profesionalisme. Manajemen prioritas dan komunikasi asertif. Menanyakan urgensi tugas menunjukkan tanggung jawab, sekaligus mengelola ekspektasi waktu kerja dan kehidupan personal (*work-life balance*).",Profesionalisme
99,TKP,"Anda melihat seorang rekan senior sering 'titip absen' kepada satpam atau junior, lalu datang terlambat berjam-jam. Hal ini menjadi rahasia umum di kantor. Sikap Anda...",Mencontoh perilakunya karena ia adalah senior yang berpengalaman,"Mengingatkannya secara personal dan sopan tentang aturan kedisiplinan dan keberkahan kerja. Jika terus berlanjut, Anda melaporkan pelanggaran tersebut ke sistem pelaporan internal",Membiarkannya karena tidak ingin ikut campur urusan orang lain,Meneriaki kesalahannya di depan semua pegawai saat apel pagi,Memerasnya dengan meminta uang tutup mulut,4,5,3,2,1,Profesionalisme (Integritas). Disiplin waktu adalah nilai dasar ASN. *Peer-warning* yang sopan diikuti dengan eskalasi prosedur *Whistleblowing* adalah langkah menegakkan integritas tanpa anarki.,Profesionalisme
100,TKP,"Dalam penyusunan laporan keuangan tahunan, Anda melakukan kesalahan *typo* (salah ketik) nominal yang membuat neraca tidak seimbang. Kesalahan tersebut sudah terlanjur dicetak. Sikap Anda...",Mencoba menutupi kesalahan tersebut dengan spidol putih (tipe-x) secara diam-diam,Menyalahkan mesin *printer* atau perangkat lunak komputer atas kesalahan tersebut,"Segera melaporkan kesalahan tersebut kepada atasan, mengakui kelalaian Anda, dan langsung menyusun ulang/mencetak dokumen perbaikannya",Diam saja dan berharap tidak ada auditor yang menyadarinya,Mengundurkan diri dari tim keuangan karena merasa tidak kompeten,4,3,5,2,1,Profesionalisme (Akuntabilitas). Berani mengakui kesalahan dengan cepat (*fast fail*) dan bertanggung jawab menyajikan solusi perbaikan seketika.,Profesionalisme
101,TKP,"Anda bekerja di bagian perizinan. Seorang pengusaha datang mengurus izin dan meninggalkan sebuah parsel mahal di meja Anda sebagai 'tanda terima kasih', padahal izinnya belum diproses. Sikap Anda...",Menerima parsel tersebut dan menyimpannya di bawah meja agar tidak terlihat CCTV,Menerima parsel tersebut dengan syarat izinnya tetap diproses sesuai antrean normal tanpa keistimewaan,"Menolak dengan halus, mengembalikan parsel tersebut, dan menjelaskan bahwa ASN dilarang menerima gratifikasi dalam bentuk apa pun",Menerima parsel tersebut lalu menjualnya untuk tambahan uang makan,Mengambil isi parsel tersebut dan membuang keranjangnya,4,3,5,2,1,Profesionalisme (Integritas). ASN (pelayan publik) dilarang menerima gratifikasi. Menolak dengan halus dan mengedukasi masyarakat adalah prinsip *zero tolerance* terhadap korupsi.,Profesionalisme
102,TKP,"Beban kerja di unit Anda sedang sangat tinggi. Anda memiliki tiga tugas penting: A (Sangat urgen, dampak besar), B (Kurang urgen, tugas rutin), C (Urgen, instruksi langsung atasan terkait rapat hari ini). Strategi penyelesaian Anda...",Mengerjakan tugas yang paling mudah (B) terlebih dahulu agar terlihat ada progres,Mengerjakan semuanya secara bersamaan (*multitasking*) meskipun hasilnya berantakan,"Menyusun skala prioritas: Mengerjakan C (rapat hari ini) dan A secara berurutan, lalu menyelesaikan B jika ada waktu tersisa atau mendelegasikan B jika memungkinkan",Menunda semua tugas karena merasa tertekan (stres),Meminta cuti sakit untuk menghindari tumpukan pekerjaan,4,3,5,2,1,Profesionalisme. Manajemen waktu dan prioritas (*Eisenhower Matrix*). Mengutamakan tugas urgen yang berdampak langsung (C dan A) menunjukkan efisiensi kerja yang terarah.,Profesionalisme
103,TKP,"Pimpinan instansi sedang dinas ke luar negeri. Tiba-tiba terjadi masalah operasional yang membutuhkan keputusan cepat. Sesuai SOP, hanya pimpinan yang berhak memutuskan. Langkah Anda...",Mengambil keputusan sendiri secara sepihak meskipun melanggar SOP,Membiarkan masalah tersebut berlarut-larut sampai pimpinan pulang,"Mencoba menghubungi pimpinan melalui telepon/email darurat. Jika benar-benar tidak bisa dihubungi, Anda berkonsultasi dengan wakil pimpinan atau mengambil langkah mitigasi awal yang paling aman sesuai SOP",Menyuruh instansi lain yang menangani masalah tersebut,Meliburkan operasional kantor pada hari itu,4,3,5,2,1,"Profesionalisme. Keberanian mengambil risiko yang terukur (*calculated risk*). Menghubungi pimpinan terlebih dahulu, lalu mengambil langkah mitigasi darurat sesuai batas kewenangan jika mendesak.",Profesionalisme
104,TKP,Kantor menugaskan Anda mengikuti bimbingan teknis (Bimtek) selama 3 hari. Ternyata materi Bimtek tersebut sangat membosankan dan Anda merasa sudah menguasainya. Sikap Anda selama acara...,Sering bolos di jam materi untuk berjalan-jalan di *mall* sekitar hotel,Duduk di barisan paling belakang dan bermain *game* di ponsel seharian,"Tetap mengikuti Bimtek dengan disiplin, menghargai pemateri, dan mencoba berjejaring (networking) dengan peserta dari instansi lain untuk bertukar informasi",Memprotes panitia secara terbuka agar materi segera diakhiri,Tidur di dalam ruang kelas karena merasa bosan,4,3,5,2,1,"Profesionalisme. Penugasan dinas (Bimtek) adalah amanat negara. ASN harus menjunjung tinggi disiplin dan etika pembelajaran, serta memaksimalkan nilai tambah kegiatan (berjejaring).",Profesionalisme
105,TKP,"Anda sedang mengalami gejala flu ringan, namun pekerjaan di kantor sedang sangat menumpuk dan membutuhkan kehadiran Anda. Sikap Anda...",Mengambil cuti sakit berhari-hari dan membiarkan pekerjaan terbengkalai,Memaksa masuk kerja seperti biasa tanpa protokol kesehatan dan sering bersin di depan rekan kerja,"Masuk kerja dengan menggunakan masker, menjaga jarak, segera menyelesaikan tugas-tugas yang paling mendesak (urgen), lalu meminta izin pulang lebih awal untuk beristirahat",Menyuruh rekan kerja membelikan obat dan Anda tidur di meja kerja seharian,"Masuk kerja hanya untuk melakukan presensi (*fingerprint*), lalu diam-diam pulang ke rumah",4,3,5,2,1,Profesionalisme. Tanggung jawab terhadap pekerjaan diseimbangkan dengan kepedulian pada kesehatan diri & rekan kerja. Mitigasi tugas urgen lalu istirahat adalah kompromi profesional.,Profesionalisme
106,TKP,"Seorang tetangga mengajak Anda menghadiri kelompok kajian keagamaan eksklusif. Dalam kajian tersebut, penceramah sering memprovokasi jemaah untuk membenci pemerintah dan menolak sistem demokrasi Pancasila. Sikap Anda...",Ikut terpengaruh dan mulai membenci pemerintah,Mengangguk setuju agar tetangga Anda tidak tersinggung,"Menolak halus ajakan kajian berikutnya, membentengi keluarga dengan pemahaman agama yang moderat, dan jika provokasinya mengarah pada aksi anarkis/makar, melaporkannya ke aparat berwenang (RT/RW/Polisi)",Menantang penceramah tersebut berdebat di tengah-tengah kajian,Memusuhi tetangga Anda dan melarang warga lain berbicara dengannya,4,3,5,2,1,"Anti-radikalisme. Deteksi dini intoleransi. Membentengi diri sendiri/keluarga, menolak ikut serta, dan eskalasi laporan secara hierarkis jika ada indikasi pergerakan anti-NKRI/makar.",Anti-radikalisme
107,TKP,Anda menemukan setumpuk pamflet gelap di toilet kantor yang berisi ajakan untuk mendiskreditkan kelompok agama minoritas dan mendukung aksi intoleransi. Tindakan Anda...,Membiarkan pamflet tersebut tergeletak di sana karena bukan urusan Anda,Membaca pamflet tersebut dan membagikannya ke rekan kerja lain karena penasaran,"Segera mengumpulkan dan membuang pamflet tersebut, lalu melaporkan temuan ini kepada atasan atau petugas keamanan kantor agar kewaspadaan ditingkatkan",Menulis tanggapan di pamflet tersebut dan menempelkannya kembali ke dinding,Membahas pamflet tersebut di grup WhatsApp kantor hingga menimbulkan kepanikan,4,3,5,2,1,Anti-radikalisme. Memutus rantai penyebaran paham intoleran di lingkungan kerja. Melaporkan kepada keamanan internal (provost/satpam/atasan) mencegah instansi disusupi paham radikal.,Anti-radikalisme
108,TKP,"Anak Anda yang masih SMP bertanya mengapa ada orang yang tega melakukan bom bunuh diri atas nama agama, seperti yang ia lihat di televisi. Penjelasan Anda sebagai orang tua yang berjiwa nasionalis...",Menjelaskan bahwa tindakan tersebut adalah takdir yang harus terjadi,Menyuruh anak untuk tidak menonton berita dan fokus belajar saja,"Menjelaskan dengan bahasa yang mudah dipahami bahwa tindakan tersebut adalah kejahatan terorisme yang salah dan menyimpang dari ajaran agama mana pun, serta menanamkan nilai kasih sayang dan toleransi",Menyalahkan agama tertentu sebagai sumber kekerasan agar anak menjauhinya,Mengatakan bahwa pelaku bom bunuh diri adalah orang-orang hebat yang berani mati,4,3,5,2,1,Anti-radikalisme. Edukasi literasi moderasi beragama dimulai dari keluarga. Memberi pemahaman bahwa terorisme bertentangan dengan semua agama mencegah anak terpapar radikalisme sejak dini.,Anti-radikalisme
