number,segment,sub_category,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
79,TKP,Jejaring Kerja,,Membiarkan bagiannya kosong berantakan agar atasan melihat sendiri kualitas kerja kolega tersebut.,Menghubungi istrinya di rumah dan memarahi keluarganya agar menasihati kolega tersebut.,"Mengingatkan secara asertif dengan memberikan *deadline* internal yang spesifik, lalu jika ia gagal, Anda mendokumentasikan log pengerjaan yang sebenarnya dan melampirkannya saat penyerahan proyek ke atasan.",Menyewa joki profesional (freelancer) untuk mengerjakan bagian kolega tersebut menggunakan uang kas tim.,Mengerjakan seluruh porsi tugasnya sendiri tanpa mengeluh demi kesuksesan proyek bersama.,1,3,5,4,2,"Profesionalisme & Jejaring Kerja. Mengedepankan komunikasi asertif berbatas waktu. Jika kooperatif gagal, akuntabilitas (*logbook* kinerja transparan ke atasan) dijalankan tanpa mengorbankan proyek. Membiarkan gagal (B) merugikan institusi.",,,,,,
80,TKP,TIK,,Ikut mengeklik dan mengisi data tersebut karena takut gaji Anda bulan depan tidak cair.,"Mengabaikannya karena Anda tahu itu *phishing*, biarkan saja rekan Anda terkena dampaknya sendiri sebagai pelajaran.","Meneriakkan peringatan keras kepada rekan Anda untuk segera mencabut kabel LAN komputernya dan *log out*, lalu mem-forward email tersebut ke *helpdesk* IT resmi sebagai laporan deteksi dini serangan *cyber*.",Membuka tautan tersebut menggunakan ponsel pribadi untuk mengecek tampilannya dengan aman.,Menyuruh rekan Anda melanjutkan isiannya dulu untuk melihat apakah itu benar penipuan atau tidak.,1,2,5,4,3,"TIK & Jejaring Kerja. Kesadaran keamanan siber (*cyber security awareness*). Mencegah dampak *phishing/ransomware* yang sudah terklik (mitigasi potong koneksi LAN/Wifi segera), dan eskalasi ke *helpdesk* IT menunjukkan literasi digital tingkat dewa.",,,,,,
81,TKP,TIK,,"Meminta bantuan atasan untuk memaksa mereka menggunakan mesin absen, agar Anda tidak berbenturan langsung secara personal.","Melakukan pendekatan persuasif, menjelaskan sistem enkripsi (*hashing*) yang membuat data wajah tidak bisa disalahgunakan, dan memberikan simulasi transparansi penyimpanan data.",Melaporkan penolakan mereka kepada Kepala Kepegawaian agar diberikan sanksi pemotongan tunjangan presensi.,Mengizinkan pegawai senior untuk tetap menggunakan sistem presensi manual (tanda tangan) sebagai bentuk penghormatan.,Mewajibkan mereka menggunakan sistem tersebut tanpa penjelasan lebih lanjut karena itu adalah perintah pimpinan pusat.,3,5,1,4,2,TIK & Sosial Budaya. Resistensi terhadap teknologi sering kali bersumber dari ketidaktahuan (*fear of the unknown*). Edukasi dan komunikasi asertif yang menjelaskan sisi keamanan teknis (enkripsi) adalah solusi profesional yang mencerminkan pemahaman TIK dan kecerdasan sosial.,,,,,,
82,TKP,Jejaring Kerja,,Menarik seluruh tim Anda kembali ke kota karena merasa tidak dihargai oleh aparatur setempat.,Melaporkan kepala desa tersebut ke kepolisian atas tuduhan korupsi anggaran desa.,"Menginisiasi rapat mediasi yang melibatkan tokoh masyarakat, Bidan Desa, dan Camat untuk menyamakan urgensi program tanpa menyerang wibawa kepala desa.",Membeli vitamin menggunakan uang pribadi dan sumbangan anggota tim agar anak-anak tidak menjadi korban.,Memarahi kepala desa di depan warga agar ia merasa malu dan segera mencairkan anggaran.,3,2,5,4,1,Jejaring Kerja & Profesionalisme. Menghadapi *blocker* struktural dari pejabat lokal butuh kolaborasi dan diplomasi (*stakeholder management*). Melibatkan Camat/Tokoh Masyarakat secara konstruktif dapat menekan Kades secara hierarkis dan moral tanpa memicu konflik frontal terbuka.,,,,,,
83,TKP,Pelayanan Publik,,Ikut menangis panik di dekat rekan Anda dan meninggalkan pekerjaan Anda tanpa kejelasan.,"Segera meminta maaf kepada warga di loket Anda (meminta jeda sebentar), keluar memberi pertolongan pertama dasar, memastikan rekan ditangani medis, lalu kembali ke loket dan meminta warga dari antrean loket sebelah untuk membagi antrean ke loket Anda.","Berteriak minta tolong agar warga di antrean membantu rekan Anda, sementara Anda tetap bekerja di balik kaca.",Menutup kedua loket tersebut dan meminta seluruh warga pulang karena terjadi insiden darurat.,Tetap duduk dan fokus pada pelayanan loket Anda sendiri karena sudah ada petugas keamanan yang menangani.,4,5,3,1,2,Pelayanan Publik & Jejaring Kerja. Menunjukkan empati kemanusiaan/rekan kerja (*first aid*) dan tetap berorientasi pada pelayanan masyarakat secara sigap (mengatur ulang antrean). Kombinasi responsivitas darurat dan tanggung jawab profesional yang tinggi.,,,,,,
84,TKP,Profesionalisme,,Diam saja dan mencoba menutupi karena khawatir akan karir Anda yang baru dimulai di divisi tersebut.,Menegur atasan Anda secara langsung dan keras di depan staf lainnya agar ia sadar.,Meminta bagian *travel* atasan juga untuk diri Anda agar adil dan sama-sama untung.,Mengirimkan surat kaleng tanpa bukti ke KPK agar mereka melakukan investigasi sendiri.,"Mengumpulkan seluruh bukti dokumentasi secara senyap, lalu menggunakan instrumen *Whistleblowing System* (WBS) ke tingkat pimpinan puncak/Inspektorat Utama secara rahasia.",1,2,3,4,5,Profesionalisme & Integritas. Melawan *fraud* dari atasan langsung di lingkungan *toxic* membutuhkan taktik perlindungan diri yang sah. Menggunakan WBS formal disertai bukti adalah jalur yang direkomendasikan negara untuk ASN berintegritas tanpa harus melakukan bunuh diri karir (frontal).,,,,,,
85,TKP,Anti-radikalisme,,"Secara tegas dan bijaksana memaparkan konsekuensi hukum positif negara, nilai-nilai Bhinneka Tunggal Ika, serta risiko keruntuhan ekonomi desa jika diskriminasi diteruskan, sembari mendorong mediasi damai.",Hadir sekadar mendengarkan tanpa memberikan pendapat agar Anda selamat dari amukan massa.,Mendukung aksi razia tersebut demi menjaga stabilitas dan perasaan warga mayoritas setempat.,Mengancam seluruh warga mayoritas di rapat tersebut akan mendatangkan pasukan tentara jika mereka tidak berhenti.,Tidak hadir karena menganggap urusan SARA bukan kewenangan teknis bidang kerja Anda.,5,2,3,4,1,"Sosial Budaya & Anti-radikalisme/Toleransi. ASN adalah perekat kebangsaan. ASN harus berani bersuara secara asertif, persuasif, dan berbasis hukum konstitusi (*civil courage*) di tengah potensi disintegrasi, tidak boleh diam atau malah tunduk pada tirani mayoritas intoleran.",,,,,,
86,TKP,Pelayanan Publik,,"Setiap hari melakukan verifikasi ganda manual pada *folder spam*, merekap pola kesalahan identifikasi, lalu menyusun laporan tertulis kepada atasan beserta rekomendasi penyesuaian parameter/algoritma AI.",Memberikan *auto-reply* bahwa keterlambatan murni kesalahan robot dan instansi meminta maaf.,Meneruskan protes warga kepada pembuat aplikasi (vendor) dan lepas tangan karena bukan Anda yang men-*coding* aplikasi tersebut.,Membiarkannya karena AI dianggap lebih pintar dan itu adalah kebijakan pimpinan pusat.,Mematikan fitur AI tersebut secara diam-diam dan menyortir ribuan keluhan secara manual sendirian.,5,4,3,2,1,TIK & Pelayanan Publik. Manusia harus tetap menjadi *human in the loop* ketika AI melakukan kesalahan. Respons terbaik adalah *troubleshooting* proaktif (verifikasi manual sementara) dan perbaikan sistemik berbasis evaluasi (laporan perbaikan parameter).,,,,,,
87,TKP,Anti-radikalisme,,Membagikan ulang postingannya dengan *caption* peringatan agar orang lain tidak meniru kelakuannya.,Ikut mengomentari postingannya dengan kalimat pedas untuk menunjukkan Anda berada di pihak yang benar.,Mendiamkan saja karena itu ruang privat rekan Anda di luar jam kerja.,"Mengingatkannya melalui pesan pribadi (*direct message*) terkait Kode Etik Pegawai dalam bermedia sosial, meminta untuk segera menurunkan (menghapus) postingan tersebut demi meredam gejolak, dan melaporkan ke kepegawaian jika ia menolak.",*Unfollow* atau *block* akun rekan tersebut agar Anda tidak melihat postingan negatifnya lagi.,3,1,4,5,2,"Anti-radikalisme & TIK (Bermedia Sosial). Pencegahan polarisasi SARA yang dilakukan kolega ASN harus diatasi dengan teguran etis yang profesional di luar ranah publik (japri), demi meredam gejolak horizontal, dilengkapi eskalasi aturan jika membandel.",,,,,,
88,TKP,TIK,,Membatalkan MoU secara sepihak dan langsung mengadakan konferensi pers untuk membongkar niat buruk perusahaan tersebut.,"Menolak keras secara formal karena melanggar UU Pelindungan Data Pribadi (UU PDP), mengevaluasi ulang klausul perjanjian, dan membatasi *sharing* data hanya pada agregat anonim (*non-personally identifiable information*).",Menyetujuinya karena hal tersebut bisa membantu para UMKM mendapatkan modal lebih cepat.,Mengingatkan pihak _e-commerce_ namun membiarkan mereka tetap mengakses server secara terbatas.,Membiarkan pihak _e-commerce_ mengambil data namun Anda meminta bagian *fee* (komisi) dari perusahaan tersebut.,3,5,1,4,2,"Jejaring Kerja, Integritas, & TIK. *Data privacy* adalah hak krusial masyarakat. Kolaborasi eksternal harus menjunjung kepatuhan regulasi (UU PDP). Melindungi data (membatasi akses agregat) tanpa harus langsung menghancurkan peluang program (konferensi pers) menunjukkan profesionalisme diplomatis tingkat tinggi.",,,,,,
89,TKP,Profesionalisme,,"Memahami dinamika birokrasi, mengelola rasa frustrasi secara profesional dengan tetap melaksanakan tugas pelayanan prima, serta mendiskusikan penjadwalan kompensasi libur di lain waktu dengan atasan saat situasi kondusif.",Membuat opini di media sosial yang menceritakan keburukan manajemen instansi Anda agar viral.,"Menerima keputusan tersebut meskipun sangat kecewa, dan bekerja melayani masyarakat pada hari raya dengan wajah cemberut.",Marah besar di ruang rapat dan mengancam mogok kerja jika janji tersebut tidak ditepati.,Bekerja setengah hati dan secara sengaja melambatkan pelayanan sebagai bentuk protes diam-diam.,5,4,2,1,3,"Profesionalisme & Pengendalian Diri. Resiliensi ASN saat janji dikhianati oleh urgensi (*force majeure* kedinasan). ASN dituntut memiliki regulasi emosi yang baik, tidak reaktif secara destruktif, tetap melayani dengan prima, lalu menegosiasikan hak secara rasional setelah krisis mereda.",,,,,,
90,TKP,Sosial Budaya,,Hanya tersenyum sopan tanpa membantah karena sangat pamali berdebat dengan tetua di kampung halaman.,Melaporkan kampung tersebut ke Satgas Covid tingkat provinsi agar mereka dihukum karena menolak program nasional.,Menghindar dari kelompok tersebut dan hanya menasihati keluarga inti Anda saja agar divaksin secara diam-diam.,Langsung membantah dengan berteriak dan menyebut mereka sebagai orang-orang yang termakan hoaks.,"Meminta izin berbicara dengan nada hormat, menyajikan fakta ilmiah dengan bahasa lokal yang mudah dimengerti, membagikan testimoni positif kerabat yang sudah divaksin, dan menawarkan diri untuk mendampingi mereka ke puskesmas kelak.",2,4,3,1,5,"Sosial Budaya, Jejaring & Anti-hoaks. Di lingkungan kultural (menghormati orang tua), edukasi tidak bisa bersifat frontal/konfrontatif. Pendekatan persuasif (*local wisdom approach*), bukti empiris sederhana, dan aksi nyata (menawarkan pendampingan) adalah kunci mengubah persepsi tanpa melanggar etika adat.",,,,,,
91,TKP,Pelayanan Publik,,"Menghadapi warga dengan tenang, menjelaskan estimasi waktu pemulihan sistem dari tim IT, lalu membagikan formulir fisik (*offline*) untuk diisi warga sebagai langkah antisipasi agar proses input bisa langsung dilakukan saat sistem *online* kembali.",Menyuruh warga untuk komplain langsung ke media sosial instansi agar tim IT pusat mempercepat kerjanya.,Menggunakan *hotspot* pribadi dari ponsel Anda untuk mencoba masuk ke sistem meskipun tahu server utama sedang dimatikan.,Menutup loket dan menempelkan kertas pengumuman bahwa jaringan sedang gangguan agar warga pulang.,Meminta bantuan satpam untuk menertibkan warga sambil Anda bersembunyi di ruang belakang sampai jaringan pulih.,5,3,4,1,2,"Pelayanan Publik & TIK. Dalam kondisi *system down*, ASN tidak boleh pasif atau lari dari tanggung jawab. Memberikan kejelasan informasi (komunikasi asertif) dan memberikan solusi *offline-to-online* (formulir fisik) menunjukkan kesiapan mitigasi layanan.",,,,,,
92,TKP,Sosial Budaya,,Mendiamkan saja dengan harapan mereka berdua sebagai orang dewasa akan menyelesaikan masalahnya sendiri seiring waktu.,"Menegur anggota yang blak-blakan agar lebih sopan, karena budaya kerja birokrasi menuntut kesantunan ekstra.","Mengadakan sesi mediasi tertutup, memfasilitasi pemahaman lintas budaya kerja (*cross-cultural understanding*) di antara mereka, dan menyepakati aturan dasar komunikasi (*ground rules*) selama proyek berlangsung.",Memisahkan tugas mereka berdua agar tidak pernah berinteraksi satu sama lain hingga proyek selesai.,Memecat keduanya dari tim proyek dan meminta atasan mengganti dengan orang yang lebih profesional.,2,3,5,4,1,"Jejaring Kerja & Sosial Budaya. Pemimpin tim harus mampu mengelola konflik (*conflict resolution*). Mediasi yang menekankan pemahaman latar belakang kultural dan pembuatan *ground rules* adalah solusi jangka panjang yang membangun kedewasaan tim, bukan sekadar memisahkan atau memihak.",,,,,,
93,TKP,Profesionalisme,,"Segera menyusun draf ralat resmi (*corrigendum*), menghadap atasan secara langsung untuk mengakui kelalaian tim, dan mempresentasikan solusi perbaikannya baik untuk versi digital maupun cetak.",Membuat surat pengunduran diri karena merasa telah mencoreng nama baik instansi pemerintah.,Diam saja dan berharap tidak ada masyarakat atau auditor luar yang menyadari kesalahan kecil tersebut.,"Diam-diam merevisi versi digital di *website* tanpa memberitahu siapa pun, dan membiarkan versi cetaknya tetap salah.",Menyuruh rekan kerja junior untuk melaporkannya ke atasan agar Anda tidak menjadi sasaran kemarahan.,5,4,1,3,2,Profesionalisme & Integritas. Berani bertanggung jawab atas kesalahan dan proaktif membawa solusi (*corrigendum*) adalah ciri integritas. Memanipulasi data diam-diam (B) melanggar akuntabilitas publik.,,,,,,
94,TKP,Anti-radikalisme,,Merobek proposal tersebut di depan penyelenggara dan mengusir mereka dari kantor Anda.,Meminta uang suap kepada mereka jika ingin proposal yang bermasalah tersebut diloloskan.,Menyetujui izin namun Anda datang ke acara tersebut untuk mengawasi secara pribadi dan diam-diam.,"Menunda izin dengan alasan teknis administrasi, lalu segera berkoordinasi dengan atasan, Kesbangpol, dan aparat intelijen keamanan untuk memverifikasi latar belakang organisasi tersebut.",Langsung menyetujui karena kebebasan berserikat dan berkumpul dijamin oleh UUD 1945.,2,3,4,5,1,Anti-radikalisme & Jejaring Kerja. ASN adalah filter negara. Menemukan indikasi radikalisme tidak boleh direspons secara gegabah (frontal merobek) atau malah dibiarkan (atas nama HAM tanpa batas). Berkoordinasi dengan instansi berwenang (Kesbangpol/Polri) adalah langkah mitigasi prosedural dan taktis.,,,,,,
95,TKP,TIK,,Membiarkan dokumen terhapus agar atasan menyadari betapa buruknya aplikasi buatan vendor tersebut.,Kembali menggunakan sistem kearsipan kertas secara total dan menolak menggunakan aplikasi tersebut.,Menyebarkan kelemahan aplikasi ini di media sosial agar vendor tersebut merasa malu dan cepat bekerja.,Memperbaiki sendiri kode sumber (*source code*) aplikasi tersebut karena Anda pernah belajar *programming* dasar.,"Tetap menggunakan aplikasi tersebut, namun Anda berinisiatif membuat *backup* data secara paralel di *server* lokal internal atau *hard drive* eksternal yang terenkripsi, sambil terus mendesak vendor secara formal melalui PPK.",1,2,4,3,5,TIK & Profesionalisme. Menjaga aset data negara adalah prioritas. Membuat *backup* paralel memastikan pelayanan dan pengarsipan tidak lumpuh sambil tetap mengikuti jalur birokrasi yang sah (mendesak via PPK). Merekayasa *source code* pihak ketiga (D) bisa melanggar hukum kontrak/HAKI.,,,,,,
96,TKP,Pelayanan Publik,,Meninggalkan loket dan meminta rekan kerja lain yang lebih pintar bahasa asing untuk menggantikan Anda.,"Tetap tenang dan tersenyum, lalu menggunakan aplikasi penerjemah di ponsel (*Google Translate* dsb.) atau bahasa isyarat visual untuk memahami kebutuhannya dan memandunya mengisi formulir.",Membalas dengan nada tinggi menggunakan bahasa Indonesia agar ia tahu bahwa ia harus menghormati bahasa negara ini.,Menghubungi kedutaan besar negaranya untuk datang menjemput WNA tersebut karena merepotkan.,Mengabaikannya dan memanggil nomor antrean berikutnya sampai ia membawa penerjemah sendiri.,3,5,1,4,2,"Pelayanan Publik, Sosbud, & TIK. Penggunaan alat bantu teknologi (aplikasi penerjemah) menunjukkan daya adaptasi TIK untuk memecahkan hambatan sosial budaya (bahasa) demi memberikan pelayanan prima secara sabar dan inklusif.",,,,,,
97,TKP,Jejaring Kerja,,Mengerjakan seluruh porsi tugas anggota tersebut sendirian karena Anda adalah ketua yang harus bertanggung jawab.,Membiarkan jadwal pengadaan mundur dan menyalahkan anggota tersebut dalam laporan akhir.,Melaporkannya ke atasan agar ia segera diberikan Surat Peringatan (SP) dan dikeluarkan dari kepanitiaan.,Mempermalukannya di depan anggota panitia lain saat rapat evaluasi agar ia merasa bersalah.,"Memanggilnya secara personal untuk berdiskusi, memahami beban kerjanya, dan mencoba merestrukturisasi pendelegasian tugas atau menyesuaikan tenggat waktu mikro agar kedua tanggung jawabnya bisa berjalan seimbang.",3,4,2,1,5,"Jejaring Kerja & Profesionalisme. Kepemimpinan dan manajemen konflik. Berdiskusi untuk merestrukturisasi beban kerja (*workload management*) menunjukkan empati sekaligus fokus pada penyelesaian tujuan (*result-oriented*), dibanding sekadar menghukum atau mengambil alih tugas secara pasrah.",,,,,,
98,TKP,Profesionalisme,,Mengeluh di media sosial tentang manajemen kantor yang buruk sebelum berangkat melakukan presentasi.,Menolak dengan tegas karena itu bukan *job desc* Anda dan Anda memiliki tenggat waktu sendiri yang krusial.,Mengerjakan keduanya secara bersamaan dalam 3 jam tersebut meskipun hasilnya nanti sama-sama tidak maksimal.,Menerima tugas presentasi tersebut dengan syarat atasan memberikan bonus tambahan di luar gaji.,"Menerima penugasan darurat tersebut, lalu bernegosiasi dengan atasan untuk mendelegasikan penyelesaian sisa laporan akhir bulan Anda kepada rekan lain atau meminta perpanjangan waktu *deadline* laporan hingga besok pagi.",4,2,3,1,5,"Profesionalisme & Jejaring Kerja. Menunjukkan keluwesan (*agility*) dan loyalitas pada institusi dalam kondisi krisis/darurat, namun tetap rasional dengan melakukan negosiasi ulang beban kerja (mendelegasikan tugas asal atau meminta perpanjangan waktu) agar semua *output* terjaga kualitasnya.",,,,,,
99,TKP,Sosial Budaya,,Mengeluarkan pegawai senior tersebut dari grup WhatsApp karena dianggap intoleran dan radikal.,Membalas pesannya di grup dengan mengutip ayat-ayat suci untuk membuktikan bahwa pemahamannya salah.,Mengabaikan pesannya dan membiarkan anggota grup lain yang berdebat dengannya secara terbuka.,Ikut membenarkan pernyataannya agar Anda tidak dimusuhi oleh kelompok pegawai senior.,"Secara pribadi menghubungi pegawai tersebut, menghargai batas keyakinan teologisnya, namun mengingatkannya secara etis agar menjaga pemilihan kata di ruang publik (grup kantor) demi menjaga keharmonisan kebhinekaan di instansi.",2,1,4,3,5,"Anti-radikalisme, Sosbud, & Profesionalisme. ASN wajib merawat kebhinekaan. Memaksa keyakinan teologis seseorang melanggar HAM, namun ekspresi intoleran di ruang publik kedinasan harus dikelola. Pendekatan persuasif-korektif secara privat (japri) mencegah konflik horizontal tanpa memicu debat *toxic* di grup.",,,,,,
100,TKP,Pelayanan Publik,,Bersembunyi dan membiarkan polisi serta satpam yang membubarkan massa karena terlalu berbahaya.,Menyuruh warga untuk mencari sendiri penyebar hoaks tersebut dan meminta ganti rugi kepadanya.,Memarahi warga karena begitu mudah tertipu oleh pesan WhatsApp yang tidak masuk akal.,"Segera turun menemui perwakilan massa bersama aparat keamanan untuk memberikan klarifikasi langsung secara empati, serta secara serentak mempublikasikan *counter-narrative* (klarifikasi hoaks) berupa infografis jelas di semua kanal media sosial resmi dan media massa lokal.",Membuat rilis pers di *website* yang hanya bisa diakses menggunakan internet berkecepatan tinggi.,2,1,4,5,3,"Pelayanan Publik, TIK, & Manajemen Krisis. Staf Humas harus tanggap darurat (hadir menenangkan massa dengan kawalan aparat) dan menguasai mitigasi digital (*counter-narrative* masif multi-platform) untuk menghentikan efek domino penyebaran hoaks.",,,,,,
101,TKP,Pelayanan Publik,,Menyuruh warga untuk menabung dan patungan menyewa mobil ke kota demi memenuhi syarat administrasi.,Menolak memproses dokumen karena SOP adalah harga mati yang tidak bisa ditawar oleh ASN.,"Menggunakan kamera *smartphone* pribadi Anda dan aplikasi *editing* sederhana untuk memotret warga dengan latar belakang merah secara digital, lalu mencetaknya menggunakan *printer* kantor agar pelayanan tetap berjalan.","Mengganti latar belakang foto menjadi warna bebas asalkan wajah warga terlihat jelas, dan mengabaikan SOP pusat.",Meminta atasan di pusat untuk mencabut syarat foto tersebut khusus untuk daerah Anda secara lisan.,1,2,5,3,4,"Pelayanan Publik, TIK, & Profesionalisme. Pemecahan masalah secara inovatif (*creative problem solving*). Menggunakan teknologi yang ada (kamera HP dan *printer* kantor) memfasilitasi kebutuhan warga rentan tanpa melanggar spesifikasi SOP (foto tetap berlatar merah).",,,,,,
102,TKP,Profesionalisme,,Memaki atasan tersebut dan langsung mengajukan surat permohonan mutasi ke divisi lain.,Mengurangi beban kerja Anda di tahun berikutnya agar sesuai dengan nilai buruk yang diberikan atasan.,Membicarakan keburukan atasan baru tersebut kepada seluruh rekan kantor agar ia tidak dihormati.,"Meminta waktu untuk berdiskusi *one-on-one* dengan atasan, menyajikan matriks data, *logbook* digital, dan *portofolio* hasil kerja teknis Anda yang terukur selama setahun untuk memberikan perspektif objektif dan meminta peninjauan ulang yang konstruktif.",Menerima penilaian tersebut dengan pasrah karena atasan memiliki hak prerogatif penuh.,1,4,3,5,2,"Profesionalisme & Komunikasi Asertif. Penilaian bias karena ketidaktahuan atasan diatasi bukan dengan konfrontasi emosional atau sikap pasif, melainkan dengan klarifikasi berbasis data (*evidence-based*) yang elegan dan terukur.",,,,,,
103,TKP,TIK,,Mengejek instansi mitra tersebut di forum rapat kordinasi daerah karena masih menggunakan cara kuno.,Menolak mentah-mentah dokumen fisik tersebut dan memulangkan kurirnya tanpa tanda terima.,Menerima dokumen fisik tersebut selamanya agar hubungan personal antar pimpinan tetap harmonis.,"Menerima dokumen fisik tersebut untuk kelancaran pelayanan jangka pendek, namun Anda secara proaktif mendatangi instansi mitra tersebut untuk melakukan *transfer of knowledge* dan mendemonstrasikan protokol keamanan SPBE secara langsung.",Membuat laporan pelanggaran ke kementerian pusat agar instansi mitra tersebut diberi teguran keras.,4,1,2,5,3,Jejaring Kerja & TIK. Mengedukasi *stakeholder* (mentransfer *knowledge*) adalah kunci transformasi digital. Menerima sementara demi kelancaran operasional lalu proaktif memberikan pendampingan teknologi (*change management*) menunjukkan kolaborasi yang sangat kuat.,,,,,,
104,TKP,Pelayanan Publik,,"Memintanya dengan sopan namun sangat tegas untuk tetap mengambil nomor antrean sesuai SOP, karena sistem antrean diawasi secara elektronik dan semua warga memiliki hak pelayanan yang setara.",Menyerahkan pelayanan orang tersebut kepada atasan Anda agar Anda tidak perlu berurusan dengan politik lokal.,Berpura-pura sistem sedang *error* sehingga Anda tidak bisa melayaninya saat itu juga.,Segera melayaninya agar Anda terhindar dari masalah dan kemarahan pejabat tersebut.,Berdebat dengannya dan menantangnya untuk membuktikan ancamannya tersebut di depan warga lain.,5,3,4,2,1,"Integritas & Pelayanan Publik. ASN dituntut adil dan tidak diskriminatif. Menolak intervensi (*nepotisme/conflict of interest*) secara sopan, asertif, dan bersandar pada aturan (SOP elektronik) adalah manifestasi *core values* BerAKHLAK.",,,,,,
105,TKP,Anti-radikalisme,,"Berkoordinasi kilat dengan ketua panitia lapangan dan aparat pendamping untuk segera menghentikan sesi narasumber tersebut dengan alasan teknis (misal: waktu habis/gangguan *sound*), lalu memberikan sesi *debriefing* pemulihan wawasan kebangsaan kepada para pelajar.","Langsung naik ke atas panggung, merebut mikrofon dari narasumber, dan membubarkan acara tersebut.",Merekam ceramah tersebut dan memviralkannya di media sosial agar narasumber tersebut ditangkap polisi.,"Membiarkan acara berlangsung hingga selesai karena menghormati narasumber pilihan panitia pusat, lalu mencatatnya di laporan akhir.",Meninggalkan lokasi perkemahan karena tidak ingin mendengarkan ceramah yang bertentangan dengan prinsip Anda.,5,1,3,2,4,"Anti-radikalisme & Profesionalisme. Melindungi generasi muda dari paparan radikalisme adalah keharusan. Menghentikan sesi secara taktis (alasan teknis) mencegah kegaduhan fisik di depan anak sekolah, diikuti langkah krusial *debriefing* (pemulihan narasi kebangsaan) agar siswa tidak bingung/terpapar.",,,,,,
106,TKP,Profesionalisme,,"Berbicara dari hati ke hati secara profesional, mengingatkan bahwa *slow response*-nya menghambat target tim, dan memintanya berkomitmen pada jam kerja instansi. Jika tidak berubah, Anda akan eskalasi ke atasan.",Mengeluarkan rekan tersebut dari grup koordinasi kerja agar ia tidak mendapatkan informasi penting.,Membiarkannya saja karena di era modern wajar jika ASN memiliki *side hustle* (pekerjaan sampingan) untuk tambahan penghasilan.,"Mengumpulkan bukti *screenshot* keterlambatannya dan media sosialnya, lalu melaporkannya secara anonim ke Inspektorat.",Meniru jejaknya dengan ikut berbisnis *online* saat giliran Anda WFH agar adil dan sama-sama untung.,5,4,2,3,1,Profesionalisme & Jejaring Kerja. WFH bukan hari libur atau waktu untuk bisnis pribadi (*conflict of interest* waktu kerja). Pendekatan asertif (*peer-to-peer correction*) adalah langkah pertama yang bijak sebelum melakukan eskalasi struktural.,,,,,,
107,TKP,Sosial Budaya,,Meminta pindah divisi ke HRD hari itu juga karena lingkungan kerja sangat *toxic* dan rasis.,"Tersenyum sopan, lalu secara santai namun asertif menyatakan bahwa lelucon tersebut membuat Anda kurang nyaman, dan perlahan mengalihkan pembicaraan ke topik pekerjaan atau hobi yang lebih netral.","Langsung berdiri, menggebrak meja, dan menuduh mereka semua sebagai kelompok rasis yang melanggar HAM.",Menghindari interaksi sosial sama sekali dan hanya berbicara dengan mereka sebatas urusan kerja formal di jam kerja.,Tertawa dan ikut mengejek etnis Anda sendiri agar Anda cepat diterima dalam pergaulan mereka (*people pleaser*).,3,5,1,4,2,Sosial Budaya & Jejaring Kerja. *Micro-aggression* sering terjadi tanpa niat jahat. Merespons dengan asertif (menyatakan ketidaknyamanan tanpa konfrontasi agresif) mengedukasi rekan kerja untuk lebih peka secara kultural sekaligus menjaga keharmonisan tim.,,,,,,
108,TKP,Pelayanan Publik,,"Mempersilakan mereka demo karena itu adalah hak demokrasi, dan Anda berlindung di dalam kantor.","Membentuk 'Posko Relawan Digital' di balai desa, berkolaborasi dengan perangkat desa dan pemuda karang taruna setempat untuk memfasilitasi *input* data massal petani lansia ke dalam sistem aplikasi secara gotong royong.",Menggunakan satu akun Anda untuk mendaftarkan semua ratusan petani tersebut secara paksa meskipun melanggar *database* kependudukan.,Menghubungi kementerian untuk menghapus sistem digital tersebut selamanya karena menyusahkan rakyat kecil.,Bersikeras bahwa mereka harus membeli *smartphone* jika ingin mendapatkan pupuk karena Anda tidak bisa melanggar aturan sistem dari pusat.,2,5,4,3,1,"Pelayanan Publik, Jejaring Kerja, & TIK. Menggabungkan solusi teknologi dengan kearifan sosial. Membentuk posko relawan melibatkan elemen masyarakat (*collaborative governance*) untuk menjembatani kesenjangan digital (*digital divide*) tanpa merusak regulasi pusat.",,,,,,
